楼盘名称,参考均价(元/㎡),地址/位置,状态,数据来源,页码,经度,纬度,坐标精度,片区分类
紫薇时光云境,22000,科技五路与化龙二路交汇处西南角,在售,房天下,1,108.828679,34.224191,ESF复用,高新二期
金茂璞逸高新,33211,高新区科技六路以北、化龙三路以东,在售,房天下,1,108.845540,34.207078,POI精确,高新二期
绿城·长安玉华,31421,高新区丝路软件城科技七路以南、科技八路以北、鱼化三路以西,在售,房天下,1,108.859956,34.202052,POI精确,高新二期
邦泰·观宸高新,21060,软件新城天谷四路以北、云水四路以西,在售,房天下,1,108.816886,34.219255,POI精确,软件新城
中建轨交山海境,19180,科技西路与云水四路交汇处东南角,在售,房天下,1,108.824545,34.229967,ESF复用,软件新城
绿城熙海棠,20896,雁塔区雁环路28号,在售,房天下,1,108.843774,34.210392,POI精确,高新二期
绿城锦海棠,20896,科技七路与鱼化三路交汇处西北角,在售,房天下,1,108.855816,34.202857,POI精确,高新二期
高科·天樾云河,18977,高新区国际社区大吉环道以东、灵韵二路以南,在售,房天下,1,109.061795,34.289865,POI精确,国际社区
绿城秋月苑,15472,科技四路与丈八北路交汇处,在售,房天下,1,108.864760,34.211902,ESF复用,高新二期
铁建越秀·高新璞悦,22313,科技路与鱼化三路交汇向南200米,在售,房天下,1,108.852571,34.228825,POI精确,高新一期
越秀铁建·樽樾,26000,祝仁路与星桥路交汇处西北角,在售,房天下,1,108.831857,34.152293,ESF复用,其他
天地源·永安观棠,18618,高新区细柳街道纬二十六路以南,在售,房天下,1,108.800149,34.147758,ESF复用,高新三期
阅山境,21000,规划八路以西、经二十二路以东,在售,房天下,1,113.985336,22.579958,POI精确,高新三期
南海·高芯悦澜,15000,科技西路与石驿路交汇处东北角,在售,房天下,1,108.844764,34.233586,ESF复用,其他
南飞鸿乐境雅荟,17000,经十四路以西、西三环以东,在售,房天下,1,108.841045,34.217112,ESF复用,其他
未来之境,25000,CID·未来之瞳·曈芯一环,在售,房天下,1,109.022984,34.363375,POI精确,高新三期
天地源·高新宸樾,23000,科技六路与鱼化一路交叉口西北,在售,房天下,1,108.852313,34.203587,ESF复用,高新二期
高科紫薇时光云瀚,17200,创智路以西,在售,房天下,1,108.816634,34.126337,POI精确,其他
高科·紫薇嘉境(南),18000,兴德路与星虹二路交汇处东北角,在售,房天下,1,108.815050,34.134256,POI精确,其他
龙湖·青云阙 昱府,18500,创智路与兴昌东街交界处西北,在售,房天下,1,108.807742,34.128343,ESF复用,其他
高科·轩阅里,15200,鱼斗路与西三环相交东南角,在售,房天下,2,108.836955,34.224649,POI精确,其他
招商天青雲麓,25000,高新区西太路,在售,房天下,2,108.811014,34.130345,POI精确,高新三期
高科·枫林九里|檀阅里,17500,科技西路与鱼化三路交汇处西南角,在售,房天下,2,108.837129,34.224571,ESF复用,高新二期
中国铁建西派玺悦,27114,星虹二路以西、隆盛路以东,在售,房天下,2,108.811505,34.125606,ESF复用,其他
越秀铁建·西派天悦,22546,成业大道与创智路交汇处,在售,房天下,2,108.813231,34.139502,POI精确,其他
高科·云天,32000,天谷三路与云水三路十字交汇处东北角,在售,房天下,2,108.824235,34.224253,ESF复用,软件新城
沣和居,17000,国际社区灵秀一路以东,待售,房天下,2,108.756993,34.130154,POI精确,国际社区
荣民壹号,22000,科技路与高新三路交汇西北角,在售,房天下,2,108.890213,34.229494,POI精确,高新一期
金泰和樾,21500,科技七路与化龙二路十字东南角,在售,房天下,2,108.847843,34.200434,ESF复用,高新二期
华宇·御璟天宸,22000,地铁6号线仁村站D口向东200米,在售,房天下,2,108.840598,34.145853,POI精确,其他
天琴湾,17686,创汇路34号,在售,房天下,2,108.843243,34.155428,ESF复用,其他
中铁盈创中心,14800,星虹一路未来之瞳旁,在售,房天下,2,108.820012,34.139900,POI精确,高新三期
天地源棠颂坊,22000,中央创新区纬三十五路以北,在售,房天下,2,108.812562,34.134981,ESF复用,高新三期
紫薇华发云峰里,21000,规划二十八路以北,在售,房天下,2,108.814248,34.125975,ESF复用,高新三期
招商雲蘭,24000,丝路创新区经二十六路西侧,在售,房天下,2,108.811070,34.128838,POI精确,高新三期
中建悦庐·学府,29000,兴隆街道纬二十六路以北,在售,房天下,2,108.830752,34.149482,POI精确,高新三期
高科·紫薇嘉境(北),22500,纬三十四路以南,在售,房天下,2,108.816127,34.136179,POI精确,高新三期
紫薇云上,28000,中央创新区纬三十二路与经二十路西北角,在售,房天下,2,108.824711,34.138411,ESF复用,高新三期
天地源·永安华府,26000,中央创新区经二十六路和纬三十路交汇东南角,在售,房天下,2,108.821553,34.142738,ESF复用,高新三期
领航·云熙,13500,科技路与高新六路交汇处向北200米,在售,房天下,2,108.871046,34.236793,ESF复用,高新一期
高新·云熙港,21000,三期规划六路与规划十六路交汇处,在售,房天下,3,108.824741,34.140604,ESF复用,高新三期
领汇ONE,18000,规划八路以西、经二十二路以东,在售,房天下,3,108.819321,34.125804,POI精确,高新三期
碧桂园·高新云墅,23487,纬三十四路以北、经二十二路以西,在售,房天下,3,108.837549,34.146949,ESF复用,高新三期
曲江文商·檀境,42000,未来之瞳北30米,在售,房天下,3,108.822849,34.139245,ESF复用,高新三期
锦悦府,17200,锦业二路与丈八六路十字东南角,待售,房天下,3,108.850063,34.175996,ESF复用,高新二期
高新·天谷雅舍,23500,天谷四路以北、云水三路以东,在售,房天下,3,108.824615,34.219185,ESF复用,软件新城
紫薇绿城·南山雲庐,28417,秦岭东五路与草堂九路交汇东南侧,在售,房天下,3,108.971982,34.135404,POI精确,其他
秦商国际中心,20000,锦业一路与丈八一路十字西北角,在售,房天下,3,108.877775,34.185775,POI精确,高新二期
糖果SOHO,14000,科技六路与唐延路交汇处西南,在售,房天下,3,108.879538,34.203775,POI精确,高新二期
高新6號,15000,大寨路和高新六路十字交汇处西南角,在售,房天下,3,108.812991,34.107267,POI精确,高新一期
启迪中心|创公馆,22000,科技二路67号启迪科技园,在售,房天下,3,108.876616,34.220387,POI精确,高新一期
锦业时代·D5大道,23000,锦业路32号锦业时代,在售,房天下,3,108.872725,34.186870,POI精确,高新二期
高新星荟,11500,西沣二路与西沣路交汇处,在售,房天下,3,108.880491,34.175503,POI精确,高新二期
永和锦湾汇,15000,南三环与里花北路交汇处西北角,在售,房天下,3,108.852864,34.183004,POI精确,其他
荣民捌号,19000,科技一路与丈八北路交汇处东南角,在售,房天下,3,108.867269,34.221362,ESF复用,高新一期
赛里斯·壹号,38000,沣惠南路与科技五路交汇处西南角,在售,房天下,3,108.880941,34.209900,POI精确,高新一期
高新芳华,21000,科技一路与团结南路十字向东100米,在售,房天下,3,108.877056,34.221593,POI精确,高新一期
大茂城,20000,科技西路与丈八北路交汇处西北角,在售,房天下,3,108.865404,34.232962,POI精确,高新二期
高新尊贵壹方,19500,科技路与丈八北路交汇向南300米,在售,房天下,3,108.865383,34.226905,ESF复用,高新一期
国瑞·西安金融中心,23000,锦业路10号,在售,房天下,3,108.875696,34.187013,POI精确,高新二期
云水壹号,18000,西三环与天谷七路西北角,在售,房天下,4,108.836343,34.206908,POI精确,软件新城
永威时代中心,25000,丈八二路11号,在售,房天下,4,108.874220,34.184694,POI精确,高新二期
高新视界,14500,沣惠南路与大寨路十字西北角,在售,房天下,4,108.881023,34.239548,POI精确,高新一期
高新NEWORLD,19000,团结南路与科技三路交叉口东南角,在售,房天下,4,108.882833,34.230736,POI精确,高新一期
邦泰观云揽玥府,,高新区云水六路以东、天谷二路以北,待售,房天下,4,108.813753,34.226859,POI精确,软件新城
天地源云和锦上,,高新区天谷六路以北、云水三路以西,待售,房天下,4,108.819891,34.212091,POI精确,软件新城
一品臻樾,,高新区细柳街道纬三十路以北、经三十四路以东,待售,房天下,4,108.806985,34.147770,POI精确,高新三期
玫瑰琬,,高新区星虹二路以东、骏业路以北,待售,房天下,4,109.036341,34.446895,POI精确,其他
研悦·文远,,高新区国际社区灵韵二路以南、灵秀一路以东,待售,房天下,4,,,默认,国际社区
研阅星睿,,高新区国际社区灵韵一路以南、灵秀一路以东,待售,房天下,4,108.954608,34.304837,POI精确,国际社区
荣民玖号,,西安·高新二路与光泰路交汇口西北角,待售,房天下,4,108.896061,34.233852,ESF复用,高新一期
君临,,科技四路和高新路交汇处西南角,待售,房天下,4,108.883689,34.227024,地理编码,高新一期
福安永泰中心,,高新区丈八街道科技六路以北,待售,房天下,4,108.847665,34.206635,POI精确,高新二期
高新 望云松间,50000,科技七路以北、高新路以东,在售,房天下,4,108.887519,34.202347,POI精确,高新一期
紫薇·时光云邸,,高新区中央创新区经二十二路以东、规划二十八路以北,待售,房天下,4,108.816634,34.126337,POI精确,高新三期
绿地高新全球贸易港|WE未来,,西太路与兴隆一路交叉口,待售,房天下,4,108.808490,34.117268,POI精确,高新三期
太和时代广场,16000,唐延路北段20号,在售,房天下,4,108.880497,34.241451,POI精确,高新二期
万科云谷,25000,陕西宾馆向西约700米,待售,房天下,4,121.453312,29.938580,POI精确,其他
高新·天境,,科技六路以北、鱼化三路以西,待售,房天下,4,108.824246,34.212319,POI精确,高新二期
高新大都荟写字楼,20000,科技路207号,待售,房天下,4,108.886299,34.231465,POI精确,高新一期
嘉和中心,,兴隆街道规划十八路以北,待售,房天下,5,108.821029,34.137669,POI精确,高新三期
竹园嘉华企业总部,,科技二路71号,待售,房天下,5,108.873288,34.219955,地理编码,高新一期
半岛上苑,,太白南路以西、永阳一巷以南,待售,房天下,5,114.659766,35.150503,POI精确,高新一期
泰信大厦,,西安市高新区锦业一路8号,待售,房天下,5,108.876210,34.184835,POI精确,高新二期
高新区化龙一路以西地块,,高新区化龙一路以西、科技五路以南,待售,房天下,5,108.893566,34.376297,POI精确,高新二期
GX3-31-14,,高新区鱼化街办科技四路以南、科技五路以北,待售,房天下,5,108.835248,34.183757,POI精确,高新二期
GX3-25-17,,高新区丈八街办科技五路以南、双红路以北,待售,房天下,5,,,默认,高新二期
高新区兴隆街道西太路地块,,高新区兴隆街道西太路以西、纬三十六路以北,待售,房天下,5,108.821172,34.125087,POI精确,高新三期
GX3-42-73-2,,高新区兴隆街道经二十六路以西、经三十二路以东,待售,房天下,5,108.835248,34.183757,POI精确,高新三期
高新区中央创新区兴隆三路地块,,高新区中央创新区兴隆三路以南、经二十二路以东,待售,房天下,5,108.813475,34.134325,POI精确,高新三期
GX3-42-41,,高新区中央创新区规划二十三路以北,待售,房天下,5,108.835248,34.183757,POI精确,高新三期
高新区丈八街道锦业路地块,,高新区丈八街道锦业路以南、丈八五路以东,待售,房天下,5,108.874144,34.188548,POI精确,高新二期
GX3-45-4,,高新区国际社区北张路以西、北张环道以东,待售,房天下,5,,,默认,国际社区
GX3-45-6,,高新区国际社区北张路以西、北张环道以东,待售,房天下,5,,,默认,国际社区
GX3-26-9,,高新区兴隆街道兴隆三路以南、兴隆二路以北,待售,房天下,5,108.817203,34.117528,地理编码,高新三期
高新区中央创新区兴隆三路地块2,,高新区中央创新区兴隆三路以南、规划八路以西,待售,房天下,5,108.814513,34.123008,POI精确,高新三期
高新区丝路科学城兴隆三路地块,,高新区丝路科学城兴隆三路以南、规划八路以东,待售,房天下,5,108.814513,34.123008,POI精确,高新三期
高新区中央创新区兴隆二路地块,,高新区中央创新区兴隆二路以南、经二十二路以东,待售,房天下,5,108.813475,34.134325,POI精确,高新三期
高新区中央创新区兴隆二路地块2,,高新区中央创新区兴隆二路以南、规划八路以西,待售,房天下,5,108.813475,34.134325,POI精确,高新三期
高新区中央创新区兴昌三路地块,,高新区中央创新区兴昌三路以北、星虹一路以东,待售,房天下,6,108.813475,34.134325,POI精确,高新三期
高新区中央创新区兴昌三路地块2,,高新区中央创新区兴昌三路以北,待售,房天下,6,108.813475,34.134325,POI精确,高新三期
GX3-26-35,,高新区中央创新区兴隆三路以南、规划十一路以东,待售,房天下,6,108.835248,34.183757,POI精确,高新三期
GX3-45-29,,高新区国际社区北张内环以北、北张一路以南,待售,房天下,6,108.835248,34.183757,POI精确,国际社区
高新区细柳街办韦斗路地块,,高新区细柳街办韦斗路以南、上林苑四路以东,待售,房天下,6,108.902075,34.229725,POI精确,其他
GX3-42-36-2,,高新区中央创新区兴隆街办纬三十五路以南、经二十二路以东,待售,房天下,6,108.835248,34.183757,POI精确,高新三期
GX3-26-37,,高新区中央创新区兴隆二路以北、规划八路以东,待售,房天下,6,114.240762,30.593104,POI精确,高新三期
高新区丈八街办科技八路地块,,高新区丈八街办科技八路以北、经十三路以西,待售,房天下,6,108.902075,34.229725,POI精确,高新二期
高新区丈八街办科技八路地块2,,高新区丈八街办科技八路以北、科技七路以南,待售,房天下,6,108.853767,34.198402,POI精确,高新二期
GX3-24-31,,高新区丈八街道经十三路以东、科技六路以北,待售,房天下,6,,,默认,高新二期
高新GX3-34-9,,彩虹路以北、经十四路以东,待售,房天下,6,,,默认,其他
高新区国际社区GX3-44-16地块,,高新区国际社区灵秀一路以东、沣惠渠以西,待售,房天下,6,,,默认,国际社区
高新区鱼化街道GX3-35-37,,高新区鱼化街道天谷三路以南、云水三路以西,待售,房天下,6,,,默认,高新二期
高新区GX3-34-2-1地块,,高新区鱼化街办鱼斗路以北、西三环以东,待售,房天下,6,,,默认,高新二期
高新软件新城GX3-36-12地块,,高新区软件新城天谷三路以南、云水五路以西,待售,房天下,6,,,默认,软件新城
高新中央创新区GX3-42-4地块,,高新区中央创新区经二十二路以西、兴隆三路以北,待售,房天下,6,,,默认,高新三期
高新区GX3-33-26,,高新区软件新城科技一路以北、经九路以西,待售,房天下,6,,,默认,高新一期
太白南路以西地块,,高新区太白南路以西、永阳一巷以南、永阳二巷以北,待售,房天下,6,,,默认,高新一期
高新区GX3-42-71-1,,高新区中央创新区经二十二路以东、纬三十二路以南,待售,房天下,6,108.871617,34.221528,POI精确,高新三期
高新区国际社区GX3-44-15地块,,高新区国际社区灵韵二路以南、灵秀东路以西,待售,房天下,6,108.755825,34.132475,POI精确,国际社区
高新GX3-26-31地块,,高新区兴隆街办兴隆一路以北、双江一路以西,待售,房天下,7,108.894765,34.235575,POI精确,高新三期
高新GX3-26-50地块,,高新区兴隆街办兴隆一路以北、兴隆二路以南,待售,房天下,7,108.894765,34.235575,POI精确,高新三期
高新GX3-36-6地块,,高新区鱼化街办天谷三路以北、云水五路以西,待售,房天下,7,108.865383,34.226905,POI精确,高新二期
高新GX2-2-7-3地块,,高新区团结南路东侧,待售,房天下,7,108.889185,34.231335,POI精确,高新一期
高新大寨路YT7-5-70地块,,大寨路以南、丈八北路以东,待售,房天下,7,108.871468,34.238627,POI精确,高新一期
高新区国际社区GX3-44-11地块,,高新区国际社区灵秀东路以西、灵秀一路以东,待售,房天下,7,108.755825,34.132475,POI精确,国际社区
高新区GX3-26-53地块,,高新区兴隆二路以南、双江二路以东,待售,房天下,7,108.899293,34.201590,POI精确,高新三期
高新区中央创新区GX3-42-47地块,,高新区中央创新区经二十二路以东、纬三十六路以北,待售,房天下,7,108.813475,34.134325,POI精确,高新三期
高新GX3-42-56,,高新区中央创新区纬三十六路以南、经二十二路以东,待售,房天下,7,108.865383,34.226905,POI精确,高新三期
高新GX3-42-50,,高新区中央创新区规划二十八路以南、规划八路以西,待售,房天下,7,108.865383,34.226905,POI精确,高新三期
高新GX3-42-51,,高新区中央创新区兴隆三路以北、规划八路以西,待售,房天下,7,108.865383,34.226905,POI精确,高新三期
高新GX3-18-44,,高新区中央创新区纬二十四路以南、规划九路以西,待售,房天下,7,108.889185,34.231335,POI精确,高新三期
高新GX3-26-45,,高新区中央创新区兴隆二路以北、规划八路以西,待售,房天下,7,108.884851,34.209708,POI精确,高新三期
高新GX3-18-45,,高新区兴隆街办纬二十六路以南、经二十路以西,待售,房天下,7,108.884851,34.209708,POI精确,高新三期
高新GX3-19-14地块,,高新区兴隆街办纬三十二路以北、西沣路以西,待售,房天下,7,108.894765,34.235575,POI精确,高新二期
高新中央创新区GX3-42-5地块,,高新区中央创新区纬三十六路以南、经二十二路以西,待售,房天下,7,108.813475,34.134325,POI精确,高新三期
高新GX3-42-25,,高新区中央创新区纬三十五路以北、经二十六路以西,待售,房天下,7,108.894765,34.235575,POI精确,高新三期
科技二路以南地块,,科技二路以南、经十四路以东,待售,房天下,7,108.818727,34.286773,POI精确,高新一期
高新区国际社区GX3-45-30地块,,高新区国际社区北张环道以北、灵秀一路以东,待售,房天下,7,108.755825,34.132475,POI精确,国际社区
高新区中央创新区GX3-42-17地块,,高新区中央创新区纬三十六路以北、规划七路以西,待售,房天下,8,108.813475,34.134325,POI精确,高新三期
高新区中央创新区GX3-42-43地块,,高新区中央创新区经二十二路以东、纬三十五路以北,待售,房天下,8,108.813475,34.134325,POI精确,高新三期
高新区中央创新区GX3-42-55地块,,高新区中央创新区规划三十七路以北,待售,房天下,8,108.813475,34.134325,POI精确,高新三期
高新GX3-26-43,,高新区中央创新区规划三十四路以南、兴隆一路以北,待售,房天下,8,108.884851,34.209708,POI精确,高新三期
高新GX3-26-44,,高新区中央创新区兴隆二路以北、经二十二路以东,待售,房天下,8,108.865383,34.226905,POI精确,高新三期
高新区GX3-2-55-3,,高新区锦业路与丈八五路十字东南角,待售,房天下,8,108.879293,34.217258,POI精确,高新二期
高新区GX3-26-36地块,,高新区兴隆二路以北、规划十一路以东,待售,房天下,8,108.899293,34.201590,POI精确,高新三期
创新公园,,创新路11号(地铁6号线西部大道C口东50米),在售,房天下,8,108.379757,34.073426,POI精确,其他
高新玖號院,,高新区鱼化街道经十三路以东、科技六路以北,在售,房天下,8,108.820725,34.179625,POI精确,高新二期
保利·天瓒,,科技六路与化龙二路交汇处,在售,房天下,8,108.845546,34.204503,ESF复用,高新二期
招商雲墨,,高新区中央创新区经二十路以西,在售,房天下,8,108.832311,34.150431,POI精确,高新三期
龙湖未来之瞳云河颂,,中央创新区成业大道与星虹二路交汇处,在售,房天下,8,108.815572,34.139443,POI精确,高新三期
高科·枫林九里|境阅里,,高新区科技四路与化龙一路交汇处西南角,在售,房天下,8,108.837129,34.224571,POI精确,高新二期
绿城海棠三章,,科技四路与化龙一路交汇处,在售,房天下,9,108.863286,34.210746,ESF复用,高新二期
香榭龙轩,,高新区太白南路以西,在售,房天下,9,108.890773,34.195346,POI精确,高新一期
保利天汇,,丝路软件新城天谷五路与云水六路交汇处,在售,房天下,9,108.814580,34.212608,ESF复用,软件新城
中国铁建·西派樘樾,,丝路软件城天谷二路与云水二路交汇处,在售,房天下,9,108.994652,34.202811,ESF复用,软件新城
中海·天谷时代,,丝路软件城天谷二路与云水三路西北角,在售,房天下,9,108.820920,34.226999,ESF复用,软件新城
天地源棠樾坊,,中央创新区双江二路与兴隆三路十字东北角,在售,房天下,9,108.813288,34.123965,ESF复用,高新三期
高新金茂悦园,,鱼化寨街与化龙一路十字东南角,在售,房天下,9,108.850668,34.226002,ESF复用,高新二期
紫薇生态城,,西安国际社区,在售,房天下,9,108.754176,34.135415,ESF复用,国际社区
书香锦程,,科技三路与沣惠南路交汇处向西300米,在售,房天下,9,108.879728,34.216261,POI精确,高新一期
中天新希望·未来印,,经二十路东侧(西安高新第一中学初中新校区北侧),在售,房天下,9,108.835945,34.152497,ESF复用,高新三期
易道郡 玫瑰公馆,,丈八北路80号,在售,房天下,9,108.864130,34.215533,POI精确,高新二期
隆基泰和·云玺领峯,,软件新城天谷三路与云水三路交叉口西北角,在售,房天下,9,108.820733,34.223626,POI精确,软件新城
九树,,科技二路61号,在售,房天下,9,108.885504,34.220140,POI精确,高新一期
万达·天鼎,,唐延路与科技六路交汇处(东南角),在售,房天下,9,108.885282,34.204418,POI精确,高新二期
启迪中心,,科技2路65号,在售,房天下,9,108.876616,34.220387,POI精确,其他
CA创意时代·大西洋,,科技二路西安软件园72号,在售,房天下,9,108.872770,34.219083,POI精确,高新一期
地建·环球中心,,科技路与高新二路交汇处西北角,在售,房天下,9,108.892361,34.228791,POI精确,高新一期
中投国际,,锦业一路10号,在售,房天下,9,108.875276,34.184820,POI精确,高新二期
融城云谷,,科技三路与沣惠南路交汇处往西200米,在售,房天下,9,108.878057,34.217098,POI精确,高新一期
金旅城·体育之窗,,唐延路和科技八路东南角,在售,房天下,9,108.962789,34.314562,POI精确,高新二期
