小区名称,均价(元/㎡),地址,建成年份,总户数,容积率,绿化率(%),物业费(元/㎡/月),主力户型面积(㎡),纬度,经度,数据来源,坐标精度
曲江公馆和园,61556,曲江池北路999号,2012,1052,1.88,40,1.50-3.60,180-600,34.2082,108.9862,房天下+OSM,精确
中海铂宫,40526,芙蓉东路99号,2012,543,2.4,,,334-600,34.2193,108.9731,房天下+OSM,精确
中海百贤府,46597,寒窑路1158号,2014,104,0.80,,4.50,528-903,34.2050,108.9780,房天下,近似
中海御湖公馆,29118,曲江路398号,2014,2046,3.56,37,1.80,89-200,34.2130,108.9750,房天下,近似
紫薇永和坊,22947,雁塔南路与雁展路交汇处西南角,2013,2200,2.70,40,1.50-4.60,97-295,34.2170,108.9670,房天下,近似
金地湖城大境,38921,曲江池西路与曲江池南路交汇处东北角,2012,3069,1.20,,1.60-3.30,130-400,34.2010,108.9700,房天下,近似
曲江春晓苑,19715,雁南五路8号,2004,1212,1.70,45,1.20-2.20,92-330,34.2060,108.9640,房天下,近似
丰景佳园,19524,芙蓉东路121号,2004,1004,2.30,43.2,1.50,159,34.2150,108.9780,房天下,近似
曲江假日新嘉园,18410,雁南三路138号,2003,376,1.40,40,1.00-1.80,149,34.2100,108.9630,房天下,近似
曲江汇景新都,20298,曲江新区曲江CCBD,2004,,,,,,,34.2120,108.9710,房天下,近似
